,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,player_height,player_weight,mean_score,median_score
0,1,58.168695726358266,16.276863437130466,6.744409808887363,3.11965317534203,0.44667879463158094,0.07020929766398032,0.18110385237827187,0.23744876958267047,0.5460638699406888,0.1602317913940205,205.10184636046785,109.10729656623782,-3.9835863585804288,1.635700951443569
1,2,59.38027985945943,12.598956459876025,5.469268196907218,2.5864171535048532,-2.3740740679499908,0.05812700994429083,0.16545940739620782,0.21226570493258692,0.5298435895327714,0.13864463974707783,203.7127660606375,102.41384813607755,-3.4978120466495355,-1.1675499999999985
2,3,63.06830209760074,15.400248328845615,5.374023980042081,3.269141976048085,-0.39531796760303545,0.049469513737896084,0.15133950144877745,0.23511077586942972,0.5461315440969288,0.17595202293307496,201.68498684648688,101.67544322379914,-1.444295438135783,0.7307027888446229
3,4,60.10619108455647,12.634087568414493,5.091432242970705,2.7715781173954253,-1.5944387343425805,0.050249074696670844,0.15313172708701556,0.21243960708095322,0.5360845624461009,0.15284126034222187,202.85264374407643,100.75141663299307,-4.707379584970061,-3.735176095617533
4,5,61.47701206536048,12.082098298571715,4.610568824086924,3.001972115365781,-2.3591562428270576,0.050195211930477754,0.15391369989675985,0.21252300645244648,0.5268246054975693,0.168303134927541,200.75621971191202,99.9818519288981,-5.753040299894451,1.2960690834070134
5,6,57.722063726871426,9.835714168310322,4.139964309195078,1.8767751479289942,-3.1117319432704047,0.0558947931342162,0.14121325490748565,0.18962939560439557,0.5290550918098995,0.11825438034188032,203.25039682539682,103.23899302051282,-5.219235856984891,-7.162630681818179
6,7,61.295831883049075,11.664179316786782,4.4716830316490945,2.645061700491565,-2.988931261674474,0.04708350049899823,0.14197821498511543,0.20515014575042853,0.5214354676055468,0.14797064713190278,200.7791363060017,99.54521303780051,-2.579585925154533,-4.2813912087912085
7,8,58.46745698369001,8.60544646781072,3.418449290151779,1.808469897372612,-3.4996647953604967,0.05203247080973324,0.13839090135605972,0.18317331859317154,0.5172508003811171,0.12338139654463183,200.50054830677115,98.70448071267425,-5.132083314733605,-3.39105337941628
8,9,58.215569131095144,10.21046106985021,4.738025753783672,2.003348351309324,-2.183705583632054,0.06119053909577099,0.16597423373823258,0.1983092998128066,0.5226681784216287,0.12748625007471162,203.32359340232418,103.79228659514625,-7.830594173830459,-10.799479089687607
9,10,55.44541941695282,9.98580142023968,4.017013725587344,2.056956885381957,-1.8874657681863265,0.051745737725268554,0.1422413710465925,0.19703887121666802,0.5282360252181996,0.129803319138259,201.81179295547008,100.92303232467567,-9.276300662346204,-2.43375894607843
10,11,53.21818181818182,8.136555988455989,3.4681659451659455,1.5594621933621935,-1.2491510822510823,0.049705460317460315,0.1496385108225108,0.18507997113997113,0.5279472121212121,0.11908140692640692,201.35946395382393,99.88856146590477,-1.8669134140809311,-1.560080838323355
11,12,54.128364690864686,7.5123088023088025,3.8616770729270726,1.281890886890887,-3.81375555000555,0.06123990315240314,0.15615770618270616,0.1754874000999001,0.5171107087357087,0.09335547785547785,205.56892216117214,106.00191785725386,-4.819852740560091,3.7578657159833666
12,13,55.19428447369624,10.064325862046449,3.4461876114081993,2.055926206146794,-1.7303563756504932,0.04580398996428407,0.13293055245408186,0.20343530219780218,0.5241044627757863,0.141330053361671,199.48993373293374,98.20997812199697,-6.956442861599186,-3.4219669480519483
13,14,54.62089844679131,8.881258830455259,3.593947778412064,1.4753658543837116,-2.8127131400345684,0.04821445181802324,0.1348072643626215,0.19069075012289297,0.5188821417669632,0.11316652989867275,200.4613801198801,100.00805602850959,-2.8830229914643986,-1.0416133280127693
14,15,52.55389488289488,8.346946087246089,3.7850282162282163,1.642762826062826,-3.538823998223998,0.05546887756687756,0.14729426196026194,0.1843131515151515,0.515807386946387,0.10757218514818515,203.95309914529918,102.03327766472994,-9.647942644394256,-9.556206521739135
15,16,48.25497249809015,6.962212146676852,3.234894907053731,1.5100852304558186,-2.6861562515915454,0.052929467532467515,0.1404663346065699,0.19112511942958998,0.4912135057295645,0.12623009956709955,200.55218162464985,101.60621838443188,-10.066974616868308,-1.6555476744186033
16,17,50.21192706865784,7.36848901098901,3.3476244482013717,1.558182351836198,-3.063391213487367,0.05563517892364045,0.1415586327134404,0.18879418028552644,0.4991313480323096,0.11616435263454493,202.92378663003663,100.69682170293041,-9.6575475625618,-8.982998635634027
17,18,50.12724204807538,6.489739581406248,3.0733267504100836,1.3007702174368843,-4.148857115107115,0.057648110685610675,0.152480798676632,0.18101711745045077,0.49633979461896127,0.10702896686646686,202.5530598290598,101.69825606860917,-11.076341449687652,-9.821327720207258
